,REA_start_UTC,REA_end_UTC,d14C_meas_up_ppm,d14C_meas_up_err_ppm,d14C_meas_down_ppm,d14C_meas_down_err_ppm,CO2_meas_up_ppm,CO2_meas_up_err_ppm,CO2_meas_down_ppm,CO2_meas_down_err_ppm,DCO2_meas_ppm,DCO2_meas_err_ppm,DCO2_MGA_ppm,DCO2_IRGA_ppm,DCO2_lag100ms_MGA_ppm,DCO2_lag100ms_IRGA_ppm,DCO2_lag200ms_MGA_ppm,DCO2_lag200ms_IRGA_ppm,DCO2_lag300ms_MGA_ppm,DCO2_lag300ms_IRGA_ppm,DCO2_lag400ms_MGA_ppm,DCO2_lag400ms_IRGA_ppm,DCO2_lag500ms_MGA_ppm,DCO2_lag500ms_IRGA_ppm,DCO2_lag600ms_MGA_ppm,DCO2_lag600ms_IRGA_ppm,DCO2_lag700ms_MGA_ppm,DCO2_lag700ms_IRGA_ppm,DCO2_lag800ms_MGA_ppm,DCO2_lag800ms_IRGA_ppm,DCO2_dtrinse-4s_MGA_ppm,DCO2_dtrinse-4s_IRGA_ppm,DCO2_dtrinse-2s_MGA_ppm,DCO2_dtrinse-2s_IRGA_ppm,DCO2_dtrinse2s_MGA_ppm,DCO2_dtrinse2s_IRGA_ppm,DCO2_dtrinse4s_MGA_ppm,DCO2_dtrinse4s_IRGA_ppm,std(DCO2_var103)_ppm,std(CO2)_MGA_ppm,std(CO2)_IRGA_ppm,Comment
738,2022-10-20_07-28-33.715000,2022-10-20_07-28-33.715000,-31.507146123013527,1.7829470454536478,-31.507146123013527,1.7829470454536478,457.1016898173641,0.0337228761656449,456.44380514870886,0.0219841474931608,0.6578846686552424,0.0402558706014969,0.1659041677082768,0.6224845943408468,0.1627520075093116,0.6213541212015343,0.1625185820749948,0.6177008469596217,0.159374620491576,0.6131010779615735,0.1564949280073051,0.6096795303049021,0.1526117178835306,0.6047485819568692,0.1468467299146709,0.6031405802604013,0.1489826656076047,0.599038471169024,0.1506446319580732,0.5954471827902239,0.168082736683516,0.6237102102160748,0.1671467274626366,0.623306693481652,0.1620055464489382,0.6176518200779242,0.1570405855290459,0.6111923770797034,0.005740926745296929,2.022304346339876,1.7719474090630165,
746,2022-10-22_14-15-00.165000,2022-10-22_14-15-00.165000,-18.507215007077747,1.88221931552986,-18.507215007077747,1.88221931552986,424.9422164154976,0.0430123833714178,423.835762348271,0.0439612659883629,1.1064540672266503,0.0615033172324014,1.0288216096562337,0.9970521014599284,1.0212500481669051,0.9906005087267432,1.0152263152513683,0.9811066790184668,1.011245114099495,0.9700376470325978,1.0079249723037265,0.9580991082785316,0.9966255082698012,0.9476785094468596,0.9913218449279952,0.9347534239724952,0.9858882839783404,0.9206995322486478,0.981527543089328,0.9083804482821732,1.0289962152177168,0.99716915646934,1.0288835244843426,0.997085136403598,1.0303584038923077,0.9983803354538168,1.032720450368629,1.0022222057156682,0.007324076907661146,1.6591940448974076,1.6246337906050416,
1060,2023-02-10_09-15-00.015000,2023-02-10_09-15-00.015000,-152.3627324172704,1.666911296589,-152.3627324172704,1.666911296589,536.3741039739484,0.0611178352736747,528.031490299818,0.017964392976911,8.342613674130462,0.0637032903668949,7.7097443153959375,6.8196954733524535,7.726101181310355,6.832529387981992,7.746515223613187,6.84029380701088,7.75843874941404,6.845456959894818,7.774869264274912,6.852028677867111,7.784558135336056,6.857873900230686,7.795168130658112,6.861367692423869,7.804600990629979,6.871839251395386,7.808680627597255,6.879735205492295,7.617114959057517,6.733853535183528,7.66694243757172,6.779617313249105,7.73052267281173,6.8450957422511465,7.778275356065592,6.891078011791024,0.17443643982357243,15.526418077667014,14.542364996081854,
1064,2023-02-13_06-00-00.415000,2023-02-13_06-00-00.415000,-52.60906979297963,1.205763132363,-52.60906979297963,1.205763132363,460.8117907684608,0.0178456801496832,455.3817391457493,0.0291967801337728,5.430051622711517,0.0342187122812163,5.6917306100882,5.325782994823328,5.671939973345786,5.292084370652958,5.652472519814921,5.252342570437463,5.625742364227563,5.216975384677312,5.590430037689714,5.181807519046686,5.557490550139391,5.154749453307488,5.529195013274148,5.125323260175151,5.514698385644522,5.106203099959146,5.503033436298949,5.096510564692153,5.713881054784679,5.346262382410316,5.7049404798519845,5.337961663015221,5.685583424414347,5.320213549222217,5.676506315399365,5.311786610781041,0.09214272694933728,9.526288594385058,8.978650362881245,
1065,2023-02-13_07-20-00.815000,2023-02-13_07-20-00.815000,-57.91657014188522,1.9,-57.91657014188522,1.9,462.2284340269625,0.0579481155521762,453.661388183164,0.0352223996756933,8.567045843798496,0.0678129894265298,8.523347599624174,8.255661355271798,8.513790212226581,8.269532541969056,8.504704018687221,8.273058310039062,8.486770419351899,8.28338473378136,8.468133023316398,8.243806145221129,8.455179753730818,8.195581168715705,8.437508705824825,8.15791179074887,8.421628809248887,8.154986921953935,8.40930956000858,8.168191334810956,8.52417053093609,8.25645142504726,8.52333610503041,8.2556586464774,8.526893500662652,8.258540619972166,8.528910916034022,8.261108222043674,0.06389952223276198,16.742166423822407,16.382817171637793,
1066,2023-02-13_10-00-00.365000,2023-02-13_10-00-00.365000,-59.81621394428094,1.187437779158,-59.81621394428094,1.187437779158,462.463648859424,0.0299170220203169,457.54193942968885,0.0262966489921932,4.921709429735131,0.0398314191911704,4.980189437881165,4.6005934717464925,4.981195819026198,4.59242925686749,4.981336123383585,4.578785936228769,4.978421753760699,4.564970750365944,4.967146512435193,4.565421017130177,4.953648586962515,4.543402627503099,4.93055868107399,4.524481828281239,4.908113483570048,4.485720502113679,4.8831829966969735,4.459122924360258,4.978545234107969,4.5952628207462,4.979086796664035,4.597048866222565,4.979306127301129,4.599923286017599,4.979212733114537,4.599948453642298,0.013742377834694909,7.939585762664073,7.767014753119344,
1067,2023-02-13_12-00-00.665000,2023-02-13_12-00-00.665000,-68.18035360052144,1.199872924779,-68.18035360052144,1.199872924779,467.9818144581948,0.0476124713534743,461.9652336814032,0.0450711272530771,6.016580776791557,0.065561832953697,6.127432654890015,5.412482154758152,6.116878443514679,5.402010113144286,6.110827617548921,5.389182660101028,6.096890569378616,5.367845643659621,6.085936018076609,5.346387563222208,6.067328123140214,5.322041786148645,6.052840326324599,5.29897794393878,6.036122903839953,5.2819233571923405,6.017152536780827,5.267413447311924,6.129164202488312,5.41482128997211,6.12875846231816,5.414489497596037,6.100873067315433,5.383550730434422,6.082290597966107,5.364077296838673,0.017622122311514218,7.620694079873752,7.559263831167088,
1068,2023-02-13_14-00-00.465000,2023-02-13_14-00-00.465000,-69.57213228060843,1.9,-69.57213228060843,1.9,468.386101991207,0.0311024126169681,465.49910185669086,0.0247621385334453,2.8870001345161427,0.039755799266845,2.845076706043187,2.14106681619046,2.8505247177224646,2.137410010123631,2.847231987257203,2.125822281048784,2.8455008037865355,2.115037192341674,2.8374437767780023,2.102521537320797,2.827784227054849,2.0890408662861546,2.821114243774161,2.075365692654202,2.812871144658857,2.064593286359297,2.806699705136793,2.052121985225768,2.841630503722911,2.137045214108923,2.84492900473208,2.140696031223058,2.838379237144352,2.133010131502715,2.826678182438684,2.1213778020022573,0.008545450491077342,2.764454721187088,2.490001518807195,
1069,2023-02-13_16-00-00.365000,2023-02-13_16-00-00.365000,-62.90400796033258,1.9,-62.90400796033258,1.9,461.4279739335185,0.0082195080539296,462.4848342459152,0.0286130404977575,-1.0568603123966795,0.0297702267236063,-1.0206004792248675,-1.2394835256450278,-1.0279973725836271,-1.252010121070782,-1.046817549041123,-1.2803048899160103,-1.0689023963543605,-1.3176979985742037,-1.0890715797818302,-1.3441206096288738,-1.1179594470229404,-1.3657202069570644,-1.1405338858677965,-1.3842076625597883,-1.152325318543717,-1.393016890376657,-1.165294479581746,-1.4177069040964057,-1.021885335338311,-1.241086078195508,-1.021885335338311,-1.241086078195508,-1.00484166080048,-1.2236332845148468,-0.9669192031880698,-1.1852187349406904,0.025219814034755483,6.4673631605645,6.847203996484732,Stationarity test failed
1072,2023-02-15_06-00-00.615000,2023-02-15_06-00-00.615000,-111.483704878108,1.183377105919,-111.483704878108,1.183377105919,503.04947442989663,0.0515411574606413,502.138220736313,0.043492301189308,0.9112536935836602,0.0674393888993969,0.8639956781286742,3.648759204214116,0.8626177622608111,3.6446400141699087,0.8609939341869222,3.638568310252936,0.8603452096654678,3.6352603074445824,0.8577823920949754,3.634436020145813,0.8573593862224129,3.6323448436323815,0.8568709483931798,3.631420854884368,0.8564254096266382,3.6284950400659,0.8560180474333379,3.62781888479833,0.8457908931904399,3.5945591139152384,0.8540048279965049,3.6211189160624144,0.8601687057100094,3.644267404714697,0.8534752506757286,3.59317935938941,0.01850475681824934,1.8468903579832616,5.6051971919205625,low IRGA signalstrength
